t x
0 1
0.2 1
0.4 0.96
0.6 0.904
0.8 0.8432
1 0.78272
1.2 0.7248
1.4 0.6703232
1.6 0.61954048
1.8 0.572414464
2 0.5287824384
2.2 0.4884330496
2.4 0.451141996544
2.6 0.416688253338
2.8 0.384861076193
3 0.355462675202
3.2 0.328308871758
3.4 0.303228843372
3.6 0.280064477147
3.8 0.258669576923
4 0.238909037747
4.2 0.220658039
4.4 0.203801277991
4.6 0.188232252027
4.8 0.173852590522
5 0.160571435839
5.2 0.148304870345
5.4 0.136975386714
5.6 0.126511398448
5.8 0.116846787673
6 0.107920487425
6.2 0.0996760958185
6.4 0.0920615196791
6.6 0.0850286453906
6.8 0.078533034888
7 0.0725336448714
7.2 0.0669925674692
7.4 0.0618747907135
7.6 0.0571479773124
7.8 0.0527822603235
8 0.0487500544354
8.2 0.0450258816672
8.4 0.0415862103825
8.6 0.038409306602
8.8 0.0354750966744
9 0.0327650404393
9.2 0.0302620140783
9.4 0.0279502019164
9.6 0.0258149964884
9.8 0.0238429062406
10 0.0220214702819
